Date,Open,High,Low,Close,Adj Close,Volume
2016-09-06,54.810001,54.810001,54.810001,54.810001,50.053112,0
2016-09-07,54.869999,54.869999,54.869999,54.869999,50.107899,0
2016-09-08,54.740002,54.740002,54.740002,54.740002,49.989178,0
2016-09-09,53.360001,53.360001,53.360001,53.360001,48.728954,0
2016-09-12,53.860001,53.860001,53.860001,53.860001,49.428246,0
2016-09-13,53.040001,53.040001,53.040001,53.040001,48.675724,0
2016-09-14,53.009998,53.009998,53.009998,53.009998,48.648197,0
2016-09-15,53.560001,53.560001,53.560001,53.560001,49.152943,0
2016-09-16,53.369999,53.369999,53.369999,53.369999,48.978580,0
2016-09-19,53.430000,53.430000,53.430000,53.430000,49.033638,0
2016-09-20,53.410000,53.410000,53.410000,53.410000,49.015278,0
2016-09-21,54.009998,54.009998,54.009998,54.009998,49.565903,0
2016-09-22,54.419998,54.419998,54.419998,54.419998,49.942177,0
2016-09-23,54.110001,54.110001,54.110001,54.110001,49.657692,0
2016-09-26,53.660000,53.660000,53.660000,53.660000,49.244709,0
2016-09-27,53.970001,53.970001,53.970001,53.970001,49.529205,0
2016-09-28,54.290001,54.290001,54.290001,54.290001,49.822868,0
2016-09-29,53.770000,53.770000,53.770000,53.770000,49.345654,0
2016-09-30,54.200001,54.200001,54.200001,54.200001,49.740284,0
2016-10-03,54.020000,54.020000,54.020000,54.020000,49.575085,0
2016-10-04,53.759998,53.759998,53.759998,53.759998,49.336479,0
2016-10-05,54.009998,54.009998,54.009998,54.009998,49.565903,0
2016-10-06,54.009998,54.009998,54.009998,54.009998,49.565903,0
2016-10-07,53.810001,53.810001,53.810001,53.810001,49.382374,0
2016-10-10,54.090000,54.090000,54.090000,54.090000,49.639332,0
2016-10-11,53.380001,53.380001,53.380001,53.380001,48.987747,0
2016-10-12,53.439999,53.439999,53.439999,53.439999,49.042816,0
2016-10-13,53.250000,53.250000,53.250000,53.250000,48.868439,0
2016-10-14,53.230000,53.230000,53.230000,53.230000,48.850086,0
2016-10-17,53.090000,53.090000,53.090000,53.090000,48.721611,0
2016-10-18,53.410000,53.410000,53.410000,53.410000,49.015278,0
2016-10-19,53.560001,53.560001,53.560001,53.560001,49.152943,0
2016-10-20,53.470001,53.470001,53.470001,53.470001,49.070354,0
2016-10-21,53.459999,53.459999,53.459999,53.459999,49.061172,0
2016-10-24,53.720001,53.720001,53.720001,53.720001,49.299778,0
2016-10-25,53.470001,53.470001,53.470001,53.470001,49.070354,0
2016-10-26,53.340000,53.340000,53.340000,53.340000,48.951031,0
2016-10-27,53.110001,53.110001,53.110001,53.110001,48.739964,0
2016-10-28,52.970001,52.970001,52.970001,52.970001,48.611485,0
2016-10-31,53.000000,53.000000,53.000000,53.000000,48.639015,0
2016-11-01,52.619999,52.619999,52.619999,52.619999,48.290283,0
2016-11-02,52.230000,52.230000,52.230000,52.230000,47.932377,0
2016-11-03,52.009998,52.009998,52.009998,52.009998,47.730476,0
2016-11-04,51.980000,51.980000,51.980000,51.980000,47.702946,0
2016-11-07,53.130001,53.130001,53.130001,53.130001,48.758320,0
2016-11-08,53.349998,53.349998,53.349998,53.349998,48.960217,0
2016-11-09,54.040001,54.040001,54.040001,54.040001,49.593437,0
2016-11-10,54.189999,54.189999,54.189999,54.189999,49.731102,0
2016-11-11,54.250000,54.250000,54.250000,54.250000,49.786167,0
2016-11-14,54.380001,54.380001,54.380001,54.380001,49.905468,0
2016-11-15,54.770000,54.770000,54.770000,54.770000,50.263378,0
2016-11-16,54.700001,54.700001,54.700001,54.700001,50.199142,0
2016-11-17,54.980000,54.980000,54.980000,54.980000,50.456097,0
2016-11-18,54.889999,54.889999,54.889999,54.889999,50.373501,0
2016-11-21,55.290001,55.290001,55.290001,55.290001,50.740593,0
2016-11-22,55.450001,55.450001,55.450001,55.450001,50.887421,0
2016-11-23,55.540001,55.540001,55.540001,55.540001,50.970013,0
2016-11-25,55.759998,55.759998,55.759998,55.759998,51.171917,0
2016-11-28,55.419998,55.419998,55.419998,55.419998,50.859890,0
